303,Peningkatan Jalan Manuba Desa Manuba,275000000,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804968
304,Peningkatan Kapasitas Jalan Lingkungan Dusun Paopao,300000000,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64805224
305,Rehabilitasi Saluran Lompengeng Kecamatan Tanete Rilau,239802829,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64800778
306,Pengadaan Belanja Makan and Minum Kegiatan Rakor and Konsultasi SKPD,2328000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN KESEJAHTERAAN RAKYAT,"Sulawesi Selatan, Barru (Kab.)",63796375
307,Pengadaan Materai,1140000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",64285089
308,Belanja Tagihan Listrik,86875740,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65141212
309,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Dinas Bermotor Perorangan,13000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65159327
310,Penggantian Suku Cadang Kendaraan Roda 6,9500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65153956
311,Penggantian Suku Cadang Kendaraan Roda 4 (,7500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65153802
312,Foto Copy,855000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65017376
313,Perlengkapan SATGAS Penyedotan Tinja/Air Limbah Domestik,4110275,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64811992
314,Penggantian Suku Cadang Kendaraan Roda 4 (,15000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64811994
315,paket data pelatihan petugas susenas maret,2150000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",63302100
316,Belanja Makan Minum Kegiatan Jakon Operasional Layanan Informasi Jasa Konstruksi,8500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64875516
317,Pengadaan Makan Minum Peyusunan RDTR,3880000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64803527
318,Pengadaan Spanduk Pelatihan and Penginputan SIRUP,113600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BAGIAN PENGADAAN BARANG DAN JASA,"Sulawesi Selatan, Barru (Kab.)",65228765
319,Pengadaan Penggandaan Penyusunan profil Kelurahan,3249000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64424844
320,Pengadaan bahan Pemeliharaan Gedung Kantor Kecamatan and Kelurahan,17966400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.)",64424753
321,"Pengadaan Alat Tulis Kantor, Kertas and Cover, Bahan Komputer Sub Keg Penyediaan Jasa Surat Menyurat",8141100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS PERPUSTAKAAN DAN KEARSIPAN,"Sulawesi Selatan, Barru (Kab.)",65121964
322,Pengadaan Pemeliharaan Kendaraan Dinas Bermotor,5500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PENANAMAN MODAL, PELAYANAN TERPADU SATU PINTU","Sulawesi Selatan, Barru (Kab.)",65484134
323,Pengadaan Penyediaan Peralatan Rumah Tangga,640600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PENANAMAN MODAL, PELAYANAN TERPADU SATU PINTU","Sulawesi Selatan, Barru (Kab.)",65484084
324,Pengadaan Makan Minum Rapat Penginputan Rekap Realisasi BOSP Kesetaraan,853600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",65074790
325,Pengadaan Poster Kesehatan,7377500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",65025869
326,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik,4271200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN PENANGGULANGAN BENCANA DAERAH,"Sulawesi Selatan, Barru (Kab.)",64897895
327,Belanja Barang Persediaan Barang Konsumsi,150,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64499075
328,"Pengadaan  ATK, Kertas and Tinta Printer Pembuatan Animasi Pembelajaran PAUD and Pelatihan Penguatan Kapasitas Guru Penanganan Stunting PAUD",2622300,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65173628
329,"Pengadaan Fotocopy and Spanduk Diklat Pembuatan Animasi Pembelajaran PAUD, Pelatihan Penguatan Kapasitas Guru Penanganan Stunting PAUD",739400,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65175128
330,biaya paket data pendataan lapangan survei perusahaan konstruksi tahunan,150000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64225637
331,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas and Cover,8720700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Bone,Dinas Perhubungan,"Sulawesi Selatan, Barru (Kab.)",65114227
332,"Pengadaan ATK, Kertas and Cover, Bahan Komputer Pelayanan Perizinan, Pengaduan and Laporan BAP",26189800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PENANAMAN MODAL, PELAYANAN TERPADU SATU PINTU","Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65432622
333,Pengadaan Barang Persediaan Peralatan Dapur Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan tahun Anggaran 2026,21000000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kementerian Imigrasi and Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",65340617
334,Pengadaan Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Dinas Bermotor Perorangan,12000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",63879767
335,Pengadaan Jasa Pemeliharaan PC Komputer,5000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",64437366
336,Pengadaan Extra Fooding Bagi Warga Binaan Selama Bulan Puasa Pada Rumah Tahanan Negara Kelas IIB Barru - Sulawesi Selatan Tahun Anggaran 2026,16440000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kementerian Imigrasi and Pemasyarakatan,PAS23 RUTAN KELAS II B BARRU,"Sulawesi Selatan, Barru (Kab.)",65615838
337,Pengadaan Licensi Zoom,3000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",64437721
338,Cetak Spanduk (Penyediaan Jasa Surat Menyurat(,1249600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PARIWISATA, KEPEMUDAAN DAN OLAHRAGA","Sulawesi Selatan, Barru (Kab.)",65227051
339,Pengadaan Buku Cek (Penyediaan Jasa Surat Menyurat),635600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,February 2026,Kab. Barru,"DINAS PARIWISATA, KEPEMUDAAN DAN OLAHRAGA","Sulawesi Selatan, Barru (Kab.)",65227050
340,Pengadaan Bahan Cetak (Penyediaan Jasa Surat Menyurat),2479940,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS PARIWISATA, KEPEMUDAAN DAN OLAHRAGA","Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65234589
341,Belanja Barang Persediaan Barang Konsumsi,1575000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria and Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64486651
