No,Paket,Pagu (Rp),Jenis Pengadaan,Produk Dalam Negeri,Usaha Kecil/Koperasi,Metode,Pemilihan,K/L/PD,Satuan Kerja,Lokasi,ID
152,"Pengadaan ATK Kertas sosialisasi dana BOSP, dapodik, Lomba Olahraga Seni, Akreditasi dan SPMB Jenjang SMP",2634400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66329473
153,Pengadaan makanan dan minuman Rapat PKK Kecamatan,1940000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,KECAMATAN PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66171810
154,Pengadaan Barang Kegiatan Pemeliharaan Kebun Induk Tanaman Kelapa Tahun 7 di Provinsi Sulawesi Selatan 5 ha,17533000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kementerian Pertanian,BALAI BESAR PERBENIHAN DAN PROTEKSI TANAMAN PERKEBUNAN BBP2TP SURABAYA,"Sulawesi Selatan, Barru (Kab.)",66141600
155,Labu,7900,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS DOI-DOI,"Sulawesi Selatan, Barru (Kab.)",66164940
156,Belanja Modal Peralatan dan Mesin BLUD,62070669,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALAKKA,"Sulawesi Selatan, Barru (Kab.)",66167125
157,"Snack Pemberdayaan Kader dalam Rangka Pencegahan dan Pengendalian Penyakit Menular dan Penyakit Tidak Menular, Pelaksanaan Imunisasi",257500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALAKKA,"Sulawesi Selatan, Barru (Kab.)",66167472
158,Garam Halus 500 Gram,4700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALAKKA,"Sulawesi Selatan, Barru (Kab.)",66167989
159,Kelapa Parut,22800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALAKKA,"Sulawesi Selatan, Barru (Kab.)",66167975
160,Langganan SIMPUS,12000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALAKKA,"Sulawesi Selatan, Barru (Kab.)",66167714
161,Tempe,15800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PANCANA,"Sulawesi Selatan, Barru (Kab.)",66170784
162,PMT Balita,22176000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66168186
163,Daging Ayam,226100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66168178
164,Snack,298700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66168179
165,Foto Copy,555750,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66168001
166,Puskesmas Pujananting,73870000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PUJANANTING,"Sulawesi Selatan, Barru (Kab.)",66167700
167,Garam,4500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS LISU,"Sulawesi Selatan, Barru (Kab.)",66172013
168,Nasi Implementasi 5 pilar STBM,712500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS LISU,"Sulawesi Selatan, Barru (Kab.)",66174721
169,"PMT Bumil Belanja bahan, dan penyiapan PMT lokal Bumil KEK dan Risiko KEK",41280000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS LISU,"Sulawesi Selatan, Barru (Kab.)",66172019
170,Snack Pendampingan petugas puskesmas dalam pembentukan dan pembinaan POS UKK,1545000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS LISU,"Sulawesi Selatan, Barru (Kab.)",66174728
171,Pembekalan dan evaluasi pelaksanaan Pemberian Makanan Tambahan (PMT) pemulihan berbahan pangan lokal,940500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS MANGKOSO,"Sulawesi Selatan, Barru (Kab.)",66164085
172,Belanja Bahan dan Penyiapan PMT Lokal Balita bermasalah gizi,38808000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS MANGKOSO,"Sulawesi Selatan, Barru (Kab.)",66164083
173,Nasi (Gizi),1140000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66167191
174,Gula Merah (Gizi),153300,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66167205
175,SnackPertemuan Pemberdayaan Kader masyarakat terlibat dalam pelaksanaan imunisasi dan surveilans PD3I,257500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66178915
176,SnackPelaksanaan Kelas ibu balita,5871000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66178336
177,Beras (Gizi),79500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66167197
178,PMT Bumil (Gizi),69660000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS PEKKAE,"Sulawesi Selatan, Barru (Kab.)",66167195
179,Belanja bahan penyiapan PMT lokal Balita Bermasalah Gizi (Balita BB Kurang),44814000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS PADONGKO,"Sulawesi Selatan, Barru (Kab.)",66163803
180,Belanja Nasi Kotak Kegiatan Pertemuan Pemberdayaan Kader masyarakat terlibat dalam pelaksanaan imunisasi dan surveilans PD3I,427500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS PADONGKO,"Sulawesi Selatan, Barru (Kab.)",66180115
181,Belanja Bahan Kegiatan Pembekalan Tim Pelaksana Penyiapan PMT berbasis pangan lokal bagi Bumil KEK dan Risiko KEK serta Balita Bermasalah Gizi Tingkat Kab/Kota dan Puskesmas (Kelapa Parut),22800,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,April 2026,Kab. Barru,PUSKESMAS PADONGKO,"Sulawesi Selatan, Barru (Kab.)",66163787
182,Pengadaan Ternak Itik Sub Kegiatan : Pengadaan Bibit Ternak yang Sumbernya dari Daerah Kabupaten/Kota Lain,187461000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Sulawesi Selatan, Barru (Kab.)",66164285
183,Pengadaan Makan Minum Rapat and Jamuan Tamu - Sekretariat,679800,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66186012
184,Nasi,741000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66164497
185,Nasi,741000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66164494
186,Telur Ayam Ras,67200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66173050
187,PMT Balita,42042000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66173053
188,Pengadaan Jasa Konsultan Pengawasan Pembangunan Pagar Puskesmas Pujananting,4549080,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,May 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66199558
189,Pengadaan Paket Meeting Fullday Pertemuan Koordinasi and Evaluasi TP Pembina Posyandu Kabupaten dalam mendukung pelaksanaan Trasnformasi Layanan Primer dalam Posyandu,15600000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66220411
190,Pengadaan Makan and Minum  CAPA dengan Pelaku Usaha,742500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,May 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66279799
191,Pengadaan Makan and Minum Rapat Kordinasi Tindak Lanjut Hasil Pengawasan Penandaan and Pengujian Serta Pengawasan Iklan PIRT,1089000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,August 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66279800
192,Pengadaan makan minum skrining HIV bagi warga binaan pemasyarakatan and wanita pekerja warung persinggahan mobil truck,1026000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,May 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66201162
193,Pengadaan test pemeriksaan HIV,96465600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,April 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66201163
194,pengadaan strip gula darah,269388000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,May 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66201600
195,Pengadaan Alat/ Bahan Untuk kegiatan Kantor - Alat Tulis Kantor,486300,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66202014
196,Pengadaan suku cadang and minyak pelumas kendaraan dinas roda Empat,51000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66299546
197,Pengadaan hotel pada BIMTEK Apotek and Toko Obat,800000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,DINAS KESEHATAN,"Sulawesi Selatan, Barru (Kab.)",66200583
198,Pengadaan Bahan Pembersih Kelurahan,227600,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66430494
199,Pengadaan Biaya Service AC,500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,KECAMATAN BALUSU,"Sulawesi Selatan, Barru (Kab.)",66208221
200,Pengadaan Bahan Penunjang Dashat Kp. KB,39480000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEMBERDAYAAN MASYARAKAT DAN DESA, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA","Sulawesi Selatan, Barru (Kab.)",66063229
201,Nasi,741000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66164494
202,Telur Ayam Ras,67200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66173050
203,PMT Balita,42042000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS MADELLO,"Sulawesi Selatan, Barru (Kab.)",66173053
204,Pengadaan Bahan Pelumas and Penggantian Suku Cadang Kendaraan Dinas Roda 4 Kecamatan and Kelurahan,53754200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kab. Barru,KECAMATAN BARRU,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",66159434
205,"Pengadaan Makanan and Minuman Rapat, Makanan and Minuman Rapat Penentuan Pemenang, Makan Minum Aktivitas Lapangan Penilaian Berkas, Makan Minum Aktivitas Lapangan Verifikasi Lapangan Lomba Perpustakaan Desa Terbaik",17227200,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,DINAS PERPUSTAKAAN DAN KEARSIPAN,"Sulawesi Selatan, Barru (Kab.)",65636296
206,Kacang Hijau,31200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS BOJO BARU,"Sulawesi Selatan, Barru (Kab.)",66168558
207,Pengadaan Makanan Kegiatan Penginputan Bolata Yassiberrui and data DDA,3907500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,August 2026,Kab. Barru,"DINAS KOMUNIKASI, INFORMATIKA, STATISTIK DAN PERSANDIAN","Sulawesi Selatan, Barru (Kab.)",66204824
208,Pengadaan Materai Pengamanan Barang Milik Daerah,5130000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.)",66212229
209,Pengadaan Makan and Minum Penyelenggaraan Rapat Koordinasi and Konsultasi SKPD,10918000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,KECAMATAN MALLUSETASI,"Sulawesi Selatan, Barru (Kab.)",66153385
210,Pendampingan Pembentukan and Pembinaan Pos UKK,3391500,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS MANGKOSO,"Sulawesi Selatan, Barru (Kab.)",66180449
211,Pertemuan Pemberdayaan KaderPenyakit menular,504700,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,March 2026,Kab. Barru,PUSKESMAS MANGKOSO,"Sulawesi Selatan, Barru (Kab.)",66180455
212,Pengadaan Tinta PENYEDIA JASA SURAT MEnyurat,6225300,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,BADAN PENDAPATAN DAERAH,"Sulawesi Selatan, Barru (Kab.)",66194965
213,Pengadaan Tinta Stempel,1191000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,BADAN PENDAPATAN DAERAH,"Sulawesi Selatan, Barru (Kab.)",66195082
214,Pengadaan Makan Minum Rapat Opsen PKB and BBNKB,2472000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,March 2026,Kab. Barru,BADAN PENDAPATAN DAERAH,"Sulawesi Selatan, Barru (Kab.)",66195097
215,Pengadaan  Snack Jamuan Rapat and Tamu pada Penyediaan Bahan Logistik Kantor,1339000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH","Sulawesi Selatan, Barru (Kab.)",66008768
216,"Pengadaan  Foto Copy pada Produksi and Pengolahan, Pemasaran, Sumber Daya Manusia, serta Desain and Teknologi",1498530,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH","Sulawesi Selatan, Barru (Kab.)",66072405
217,"Konsultan Perencanaan Gedung Sentra Promosi pada Produksi and Pengolahan, Pemasaran, Sumber Daya Manusia, serta Desain and Teknologi",14205762,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH","Sulawesi Selatan, Barru (Kab.)",66109068
218,"Pengadaan  Cetak Spanduk and Sertifikat pada Produksi and Pengolahan, Pemasaran, Sumber Daya Manusia, serta Desain and Teknologi",341600,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH","Sulawesi Selatan, Barru (Kab.)",66009792
219,Snack,772500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALANRO,"Sulawesi Selatan, Barru (Kab.)",66169562
220,Daging Ayam,96900,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALANRO,"Sulawesi Selatan, Barru (Kab.)",66168651
221,Garam Halus 500 Gram,4700,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALANRO,"Sulawesi Selatan, Barru (Kab.)",66168643
222,Nasi,855000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALANRO,"Sulawesi Selatan, Barru (Kab.)",66169567
223,Snack,309000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,PUSKESMAS PALANRO,"Sulawesi Selatan, Barru (Kab.)",66169561
