No,Paket,Pagu (Rp),Jenis Pengadaan,Produk Dalam Negeri,Usaha Kecil/Koperasi,Metode,Pemilihan,K/L/PD,Satuan Kerja,Lokasi,ID
18,Pengadaan Air Mineral Forum Perangkat Daerah/Lintas Perangkat Daerah,59000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,"BADAN PERENCANAAN, PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH","Sulawesi Selatan, Barru (Kab.)",65054411
19,Pengadaan Pemeliharaan Kendaraan Roda 4,30000000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",65094238
20,perlengkapan pelatihan petugas susenas maret,3250000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,December 2025,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",63302096
21,Belanja Barang Persediaan Barang Konsumsi,5250000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64486900
22,Belanja Air PDAM Kantor Disdikbud,630000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",63807240
23,Belanja Listrik Kantor Disdikbud,167994972,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",63807237
24,Pengadaan Suku Cadang Kendaraan Dinas,8172000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sulawesi Selatan, Barru (Kab.)",65066072
25,OP Tebing Sungai Makawa Desa Bojo Kecamatan Mallusetasi,397918560,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,April 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64800936
26,Konsultan Perencanaan Peningkatan Jaringan Irigasi,7014655,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64801717
27,Belanja Barang Persediaan Barang Konsumsi,175000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64499366
28,Belanja Bahan,1050000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64499804
29,Belanja Barang Persediaan Barang Konsumsi,200000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64499805
30,Belanja Pemeliharaan Alat Angkutan-Alat Angkutan Darat Bermotor-Kendaraan Dinas Bermotor Perorangan,10500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,BADAN KESATUAN BANGSA DAN POLITIK,"Sulawesi Selatan, Barru (Kab.)",64930999
31,Transport,420000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64823527
32,Belanja Barang Persediaan Barang Konsumsi,240000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64460011
33,Transport Lokal Penanggung Jawab,450000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64837917
34,Belanja Barang Persediaan Barang Konsumsi,1310000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64775741
35,Pengadaan Makan dan Minum_Pengelolaan Promosi,7392000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64722218
36,Pengadaan Oli Motor_ Penyediaan Jasa Pemeliharaan,1073100,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64667645
37,Pengadaan Air Mineral (Natura dan Pakan-Natura)_Pengadaan PNS dan PPPK,370000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64655831
38,"Pengadaan Alat Tulis Kantor, Kertas dan Cover, Bahan Cetak, Bahan Komputer dan Bahan Listrik_Pengadaan PNS dan PPPK",1940200,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,February 2026,Kab. Barru,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Sulawesi Selatan, Barru (Kab.)",64655825
39,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,445500,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN ORGANISASI,"Sulawesi Selatan, Barru (Kab.)",64682047
40,Belanja Pemeliharaan Komputer-Komputer Unit-Personal Computer,500000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN ORGANISASI,"Sulawesi Selatan, Barru (Kab.)",64663366
41,Belanja Makanan dan Minuman Rapat,1862400,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BAGIAN ORGANISASI,"Sulawesi Selatan, Barru (Kab.)",64478728
42,Belanja Barang Persediaan Barang Konsumsi,1865000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64806732
43,Pengadaan Fasilitasi Kunjungan Tamu,2100000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.)",64889111
44,Pengadaan Makan Minum Rapat kegiatan Koordinasi dan Penyusunan Rencana Anggaran Daerah (Anggaran),18236000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,BADAN KEUANGAN DAN ASET DAERAH,"Sulawesi Selatan, Barru (Kab.) | Sulawesi Selatan, Barru (Kab.)",64887785
45,Rekonstruksi Jalan Ruas Lappabila - Bujung Awo,783200000,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Tender,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804972
46,Konsultan Perencanaan Rekonstruksi Jalan Ruas Bottolampe - Pesse (Bronjong),5345000,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804980
47,Konsultan Perencanaan Rekonstruksi Jalan Ruas Barru - Lakonrae,11000000,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,February 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804985
48,Konsultan Pengawasan Rekonstruksi Jalan Ruas Tampungcinae - Lisu,9125000,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804989
49,Konsultan Pengawasan Rekonstruksi Jalan Ruas Kiru-kiru - Ajjakkang,91300000,Jasa Konsultansi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64804992
